,rrmse,nse,r2
1,0.328709992091896,0.7925411849119766,0.8085614617623961
2,0.3472771327418389,0.7684427114459565,0.7744055014955262
3,0.3159023279443281,0.8083928399799377,0.8289954327974195
4,0.32519147445060104,0.7969587008539147,0.8049880692347263
5,0.32469145827598495,0.7975826156227998,0.7990616300170043
6,0.33862927988711816,0.7798315447354882,0.7822951206642077
7,0.3453298894590282,0.7710321951725031,0.7752292604658627
8,0.33864281500960014,0.7798139439741743,0.8120640355316967
9,0.3334020636784343,0.7865762981097022,0.7909710417057426
10,0.3348162984508655,0.7847618439611389,0.7869971883161743
