,rrmse,nse,r2
1,0.23271496717337514,0.7938693873660065,0.8202513090877968
2,0.21637594330879328,0.8217983132894631,0.8332630183098764
3,0.2114165673391244,0.8298735278858939,0.8453577723353003
4,0.19909092820744495,0.8491321140823864,0.8519464999816412
5,0.18255735780643687,0.8731493944134658,0.874071184463428
6,0.17509408400147192,0.8833091489875685,0.8877500630508883
7,0.16929283007494889,0.8909135039004407,0.8941367487859956
8,0.16668378484092541,0.894249953130932,0.8974317778646512
9,0.17428147604680452,0.884389755181846,0.8875028941183241
10,0.1751609484193175,0.8832200088472059,0.8879760664849949
11,0.18544015575478545,0.8691115186685228,0.8806550456244254
