,rrmse,nse,r2
1,0.4556000745064436,0.4057275492455219,0.41139609998750803
2,0.45692993646273244,0.40225321382954615,0.4051565113831906
3,0.45577819147426635,0.4052627964767799,0.41532280571635977
4,0.471671620058063,0.36306147631806707,0.3668997339310676
5,0.45606571843749355,0.40451218170964254,0.41824489213472954
6,0.43840198070449793,0.4497462130593527,0.49148104687840805
7,0.4771902988557046,0.34806959416167016,0.35888542492474446
8,0.4757854837089957,0.35190241986527826,0.3673442436342994
9,0.44913934599864325,0.4224624457108701,0.43048571379616696
10,0.509002092784506,0.25825067326509277,0.28315664359959203
