,rrmse,nse,r2
1,0.18350216660803734,0.6763823762133157,0.6778650657293015
2,0.1634682291662621,0.7431873052204692,0.7442322238804937
3,0.16042325359340062,0.7526656633222543,0.7529464141800645
4,0.15921861512162613,0.7563662464285841,0.7572501780156851
5,0.15643104760652926,0.7648225486610319,0.7656823400121651
6,0.15619670174596034,0.7655266490476077,0.7667554763254415
7,0.15197557074136578,0.7780284380193634,0.7788119453780722
8,0.15165234996849222,0.7789716096774202,0.7799024891515679
9,0.15205560044385139,0.7777945978661488,0.7795940121148466
10,0.1533118344978821,0.7741078532459178,0.7763826396000861
