,rrmse,nse,r2
1,0.47152970118564275,0.363444709034236,0.4101323676150876
2,0.5056706025572524,0.26792860472892865,0.3246390434507444
3,0.4738920163965235,0.35705057927112727,0.3881461578642743
4,0.5038910005246903,0.27307228236302616,0.33407584714720057
5,0.47661660506547493,0.34963619601340346,0.4420478221595531
6,0.456485088351226,0.40341653043444226,0.5030781847753498
7,0.41937847142438023,0.4964642735213525,0.6156114585283472
8,0.43152421410949887,0.46687583849688474,0.5842981786426314
9,0.42818939293805436,0.47508397131787694,0.6018638197137245
10,0.4538589752174354,0.4102609562558852,0.5046161756456377
11,0.47362061191034255,0.35778682036422216,0.4543140853914971
