,rrmse,nse,r2
1,0.4822996092077045,0.3340343258436189,0.35447374221219696
2,0.47702730827500084,0.3485148687981776,0.36697208385897495
3,0.475726536361044,0.3520630017588209,0.3665265017679501
4,0.4694591313094175,0.3690228872531598,0.3728350392135697
5,0.4711885626584792,0.36436543568888125,0.3711594266739269
6,0.461867571833667,0.3892647781176616,0.39507896276273496
7,0.4711885578833739,0.3643654485721397,0.37217059126986196
8,0.4738722161243578,0.35710430588868036,0.3600127777723353
9,0.4830588727652396,0.3319358730823464,0.3494079730370263
10,0.4852987627085403,0.3257260320020956,0.34156914759643203
