,rrmse,nse,r2
1,0.2372128848462932,0.7858241928311708,0.7860581016003897
2,0.1754790191451352,0.8827955075914395,0.8829658119090096
3,0.16060187639691423,0.9018263151591568,0.904552688440533
4,0.1536220994308384,0.9101741668857383,0.9179601538544708
5,0.15702430216276206,0.9061514415737901,0.9117171826307506
6,0.17707058941414677,0.880659809219704,0.882129826969772
7,0.17533491874243512,0.8829879212494129,0.8905503608770584
8,0.18155819116306787,0.8745341432663001,0.8760407185464159
9,0.19069903246995357,0.8615825509584758,0.8615885704618405
10,0.17545665147360354,0.882825384946791,0.889182041155988
11,0.17437653120992785,0.8842636104212014,0.8897932306458277
12,0.1821173767092074,0.8737601023385524,0.8792747062568331
