,rrmse,nse,r2
1,0.18389147241449993,0.7564019141521703,0.7594805542291079
2,0.1712816411939969,0.7886645649270325,0.7977634460899072
3,0.16017951802974265,0.81517332270596,0.8157782599764876
4,0.15859021047465002,0.8188228423985127,0.8198183831513512
5,0.16013765587728487,0.8152699172218207,0.8166567421024937
6,0.15378748038999165,0.8296301840498228,0.8298139949916963
7,0.1560154619502361,0.8246579928428499,0.8250399179122839
8,0.155559792677922,0.8256807284886617,0.8258241263695375
9,0.15687285541404528,0.8227254897078385,0.8228793602559096
10,0.15671128489813083,0.8230904678806021,0.8241604040092628
11,0.15845375326396666,0.8191344920672381,0.8203597746024134
12,0.16159182861115673,0.8118997026556365,0.8149582160532244
