,rrmse,nse,r2
1,0.2307644764895736,0.7973102570051149,0.7973947098530083
2,0.1755309800480213,0.8827260867235001,0.8827755637039956
3,0.16902806447547855,0.891254448832812,0.8914054389892817
4,0.15185461317692528,0.9122292434900027,0.9123196436235506
5,0.14752241470103353,0.917165760975981,0.9172257580718892
6,0.14366713277078696,0.9214386910549974,0.921798766797506
7,0.14109600945606424,0.9242254573226191,0.9247282454477656
8,0.13976507582290412,0.925648250688731,0.9258177546141736
9,0.13735481488338683,0.928190543817543,0.9285946033868355
10,0.14049236783652622,0.9248724327150206,0.9249669619987869
11,0.14383920149043053,0.9212503941392397,0.9215278849396678
12,0.14833292318828012,0.9162530551175133,0.9163662613410123
