,rrmse,nse,r2
1,0.23002117718848444,0.7986138935767624,0.7986410275743991
2,0.18667619117349402,0.8673608517448915,0.8674648547240066
3,0.16457262378594928,0.8969117782357999,0.8970464460401029
4,0.16032225918906384,0.9021678697575978,0.9022362344792039
5,0.1527010151997503,0.9112480894769963,0.911341549874559
6,0.1473272427986345,0.9173847951023639,0.9174893307929308
7,0.14452126108526678,0.9205017905618285,0.9207415319126256
8,0.14180476023325278,0.9234622868849292,0.9236150254918022
9,0.14184836427378608,0.9234152099511682,0.9235234714299873
10,0.1323483241221116,0.933329954017824,0.9333571758460546
11,0.13329885397424426,0.9323688623114483,0.9325068093357401
