,rrmse,nse,r2
1,0.3757595385765681,0.7289021277481593,0.7522562760409581
2,0.36054563073810986,0.7504103597208369,0.7588267587637196
3,0.334691202859355,0.7849226504367192,0.7965869368718779
4,0.34669766949662906,0.7692148152236159,0.789394930535187
5,0.3482921351548769,0.7670871676881973,0.7811825411603951
6,0.3768433184500628,0.7273360510579008,0.7273838918644143
7,0.3480926144263028,0.7673539415987406,0.7695253537112876
8,0.36113482924173984,0.7495939415482893,0.750677201204798
9,0.37298802681800647,0.7328864846153795,0.7347618023965076
10,0.37867882789282686,0.724673426682667,0.7260408093341051
11,0.38312192376334814,0.7181746268238964,0.7253773602657811
12,0.3889090087027414,0.7095963384986939,0.7104696580941005
