,rrmse,nse,r2
1,0.36871553084534664,0.7389708894872205,0.7390249928140019
2,0.341656378922712,0.7758776597990895,0.7760932055644196
3,0.32414943343469466,0.7982578638997423,0.7984033914159615
4,0.3231215086845173,0.7995353421506122,0.7995860047109221
5,0.31456228819488896,0.8100149655852051,0.8100641638028926
6,0.3078379990496221,0.8180506384015431,0.8181468725755265
7,0.3067828446464429,0.8192958105020773,0.8193041344776553
8,0.3069605550855667,0.8190863964328075,0.8191045383079536
9,0.30908879521622235,0.8165690544822386,0.816595364051533
10,0.31788137415898554,0.805984581577569,0.8061669283272691
