,rrmse,nse,r2
1,0.18948136498788498,0.6549494044595052,0.6591257559662473
2,0.15945221988651515,0.7556508054903186,0.767181605232637
3,0.15425750109173872,0.7713125376077115,0.7838225288007717
4,0.15362774228788276,0.7731759667951045,0.785436912256643
5,0.15728497405862166,0.7622479654202914,0.7669632664564098
6,0.14654414296026033,0.7936109258998171,0.7948998145564866
7,0.14923058421584334,0.7859745344490988,0.7996426806584729
8,0.1519367616600811,0.7781417906119128,0.7868873900024376
9,0.15431275417875936,0.7711486823508511,0.7899649900701841
10,0.15138360632656106,0.7797542858858659,0.7850579929064649
