,rrmse,nse,r2
1,0.4899628358420887,0.3127032281154879,0.35503862363769517
2,0.44703061827008633,0.4278728400226155,0.4404210853441499
3,0.44919829021326846,0.4223108458490694,0.4230306394082348
4,0.46497097470858706,0.38102984131770723,0.38824126363657274
5,0.4486905902199869,0.4236159578277502,0.4391180209828665
6,0.4609997571995269,0.3915576736382679,0.40699242722356244
7,0.45415814248322856,0.40948323112452933,0.4362083628710703
8,0.497932132403852,0.29016349409753406,0.2976965771239664
9,0.4560246881970807,0.4046193237652461,0.40475511804456926
10,0.4926081199472736,0.30526183462978806,0.34256364589851346
