,rrmse,nse,r2
1,0.20033534015371135,0.614286439526601,0.6317198968103024
2,0.1615739812175854,0.7491046429928744,0.7504884144456615
3,0.14882993992295449,0.787122194312506,0.7877425678964434
4,0.14521434526051175,0.797339637976767,0.7993262538001007
5,0.1500571461582309,0.7835970696803034,0.7855410300173362
6,0.1393592589980208,0.8133528216231518,0.8140343552563275
7,0.14854699717399614,0.7879308350655938,0.7934536234883253
8,0.13125292185895845,0.8344353054188235,0.8369020896395691
9,0.13893086870294602,0.8144985645786351,0.8275189684230855
10,0.14825282113343338,0.7887699485517573,0.7926118756002224
