,rrmse,nse,r2
1,0.18350216660803734,0.6763823762133154,0.6778650657293017
2,0.16329900629169422,0.7437187367826811,0.7454556500321722
3,0.14815236045485022,0.789056123538164,0.7890920347416335
4,0.1437359184153656,0.8014452008461901,0.8014603129296048
5,0.13827934623945326,0.8162343194618302,0.8162558860033637
6,0.13599328080875986,0.8222602052327422,0.8228686138870241
7,0.13532307840198834,0.8240077637849937,0.8248943034501471
8,0.13754806519943324,0.8181728449220793,0.8186700659721252
9,0.13688996609892304,0.8199085876901591,0.8210052948128015
10,0.13935281962703078,0.8133700700308513,0.814029628142891
