Station Name,Water Year,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values
Brumley,2013,0,0,0,0.9,0.4,1.5,1.5,2.9,2.8,4.1,4.6,6,7.3,8.3,8,11.6,0,13.5,0,14.3,0,16.9,0,18.5
Brumley,2014,0,0,0.7,1,2.6,2.8,4.3,4.6,8.4,7.7,11.5,10.4,14.1,12.3,10.4,14,0,16.2,0,17.2,0,17.8,0,20.1
Brumley,2015,0,0,0,1.1,4.3,4.8,7.7,7.8,8.5,8.7,10.7,10.4,10.7,11.7,8.9,14.2,0,19.4,0,20.2,0,21.6,0,21.9
Brumley,2016,0,0,0.7,0.9,3.2,3.3,4.8,5.2,7.4,7.1,8.6,8.7,10.9,11.1,12.6,14.4,0,16.8,0,17.8,0,18.4,0,21
Brumley,2017,0,0,0,0.7,1.9,1.9,5.9,5.9,11.1,10.4,13.3,12.1,13.6,13.5,11,16.1,0,18.8,0,18.8,0,22.1,0,23.6
Brumley,2018,0.3,0,0.3,1.8,2,3.6,3.2,5.4,5,7.2,6.5,8.9,8,10.7,5.7,14.1,0,15,0,15.6,0,16,0,16.7
Brumley,2019,0,0,0.3,1.5,4.2,4.7,5.9,6.5,7.9,8.2,10.3,10.7,15.3,15.3,14.3,18.9,8,22.1,0,23.9,0,24.6,0,25.7
Brumley,2020,0,0,1.8,2.2,3.6,4.1,6.1,6.6,7.7,8.3,11.6,12.1,13.6,13.9,11.3,15.9,0,18.7,0,19.7,0,20.9,0,21.8
Brumley,2021,0,0,0.7,1.2,3,3.8,4.2,5.4,4.9,6.7,7.8,9.2,10.7,11.9,6.6,12.8,0,14.4,0,15.9,0,19.7,0,20.8
Brumley,2022,0,0,0.6,1.9,2.4,3.6,5.3,6.8,6.3,8.1,7.4,9.8,8.7,11.5,6,13.4,0,15,0,17.1,0,19.2,0,23.6
Bug Lake,1979,0,0,0,0,4.5,4.1,9.5,9,16.3,17.3,20.8,20,24.6,22.3,18,23.8,0,26.7,0,26.9,0,27,0,28.1
Bug Lake,1980,0,0,1.3,5.3,3.9,7.4,4.3,8.1,14.1,16.8,19,20.5,24.8,24.6,16.8,26.7,0,30.3,0,32.6,0,33.1,0,33.3
Bug Lake,1981,0,0,0.9,2.3,3.6,4.7,5.3,6.7,6.8,8.1,7.4,9.1,10.9,12.8,0.3,14,0,18.1,0,18.8,0,19.3,0,19.6
Bug Lake,1982,0,0,2.4,4.5,5,7.4,12.8,15.2,19.6,20.5,23.5,23.6,30.9,31,28.2,34.1,7.5,36.9,0,37.7,0,39.5,0,40.8
Bug Lake,1983,1.7,0,1,1.9,4.9,5.1,7.9,8.4,9.9,9.7,13,12.3,17.3,15.5,21,21.1,11.4,26,0,27.8,0,29.8,0,33.5
Bug Lake,1984,0.3,0,0,3.7,7.8,10.6,20.6,19.1,22.3,21.8,24.8,23.3,27.4,25.9,29.1,29.8,1.1,31.8,0,33.3,0,34.1,0,35.2
Bug Lake,1985,0,0,2.9,4.2,8.2,9.4,12.2,12.1,12.5,13.9,16.6,16.6,23,20.6,15.6,22.6,0,25,0,25.7,0,26.5,0,26.5
Bug Lake,1986,0.2,0,2,2.4,8.5,9.8,11.6,12.4,14.5,15.6,29.1,27.4,32.6,29.8,32.5,35,7.6,37.8,0,38.2,0,39.1,0,40.1
Bug Lake,1987,2.7,0,2,2.5,3.6,5.2,5.8,6.4,8.8,9.1,9.2,10.9,13.3,14.5,2.1,15.4,0,19.1,0,19.4,0,20.8,0.1,22.4
Bug Lake,1988,0,0,0,2.7,2.2,4.9,4.8,7.9,11.3,11.7,13.6,13.2,17.2,15.8,9.6,18.7,0,20.5,0,20.5,0,20.5,0,20.7
Bug Lake,1989,0,0,0,0.5,4,5.2,6,7.1,9.7,10,14.8,12.8,20.3,17.4,13,20.9,0,23,0,24.7,0,24.9,0,25.7
Bug Lake,1990,0,0,0.8,1.8,3.6,4.3,5,5,9,8.8,11.9,11.2,13.8,12.7,6.2,15.9,0,17.6,0,19.6,0,19.7,0,20.3
Bug Lake,1991,0,0,0,1.7,3,5,5.5,7.6,7.7,9.2,9.2,10.3,15.1,14.4,14.5,17.6,0,22.4,0,25.4,0,26.3,0,28.6
Bug Lake,1992,0,0,0.8,3.3,4.7,8.7,5.5,9.8,6.7,10.9,8.8,12.6,8.8,13.7,0,15.4,0,17.1,0,18.2,0,19.7,0,19.7
Bug Lake,1993,0,0,1.3,3,3.6,6,8.1,10.3,12.7,14.4,16.4,17.7,19.5,21.2,18.4,24.8,0,28.1,0,30.9,0,33.5,0,35.4
Bug Lake,1994,0,0,0,2.1,2.3,3.9,4.2,5.4,6.4,7.3,12.6,12.4,15.8,16.1,13.5,18.8,0,20.4,0,20.6,0,20.6,0,21.7
Bug Lake,1995,0,0,0,2.9,4.2,7.2,6.4,9.2,11.5,13.3,14.6,16.8,19.9,23.2,20.5,26.5,6.4,31.2,0,33.8,0,35.7,0,36.7
Bug Lake,1996,0,0,0.4,1.5,3.9,4.8,9,9.9,17.3,15.9,20.7,19.1,25.1,23.2,24.1,25.9,0.3,29.5,0,29.8,0,31.1,0,31.3
Bug Lake,1997,0,0,1.9,2.7,5,7.6,19.6,19.3,26.6,25.6,29.6,26.8,33.4,29.5,34.3,34.2,2.3,35.8,0,38.2,0,39.6,0,42.1
Bug Lake,1998,0,0,0.7,2.1,3.3,4.7,5.2,6.7,14.5,14.2,18.2,17.5,19.9,21.1,17.7,23.5,0,26.3,0,31.4,0,32.3,0,33.9
Bug Lake,1999,0,0,0,2.3,2.3,4.5,5.1,6.7,11.1,11.5,19.2,17.4,21.7,19.7,25.2,27,4.9,30,0,32,0,32.5,0,33.7
Bug Lake,2000,0,0,0,0.2,0.5,0.7,2.5,2.4,7.2,6.6,11.9,10.7,16.3,13.3,7.4,14.6,0,17.1,0,17.7,0,18,0,20
Bug Lake,2001,0,0,0,1.7,1.5,3.4,6.6,7.3,8.3,8.1,11.7,11,12.2,12.6,7.4,15,0,16.3,0,17.4,0,18.6,0,19
Bug Lake,2002,0,0,0.4,1.5,1.5,4.5,8.1,9.4,12.8,11.9,15.1,13.1,18,16,14.2,18.9,0,20.2,0,20.3,0,22.1,0,22.3
Bug Lake,2003,0,0,0.8,1.9,4.1,4.9,6.7,7.1,7.4,8.4,12.1,12,16,15.9,10.7,17.2,0,20.6,0,21.3,0,21.6,0,22.6
Bug Lake,2004,0,0,0.5,1.6,3.9,5.6,9.2,9.8,12.6,12.1,15.6,14.8,13.5,15.6,10.2,19.1,0,21.9,0,22.7,0,23.2,0,25.7
Bug Lake,2005,0,0,2.8,5,3.6,6.8,8.8,11.2,14.5,17,18.1,19.9,21.1,22.1,21.5,26.9,0,29.5,0,31.6,0,31.7,0,32.8
Bug Lake,2006,0,0,0.4,1.3,2.7,4.4,10.4,10.7,18,16.5,21.5,18.7,25.6,22.9,22.7,25.1,0,26.2,0,27.3,0,29.2,0,30.4
Bug Lake,2007,0,0,1,2.3,3.6,5.9,6.2,8.1,7.8,9.6,12.1,13,13.3,15.2,7.5,16.4,0,18.6,0,19.1,0,20,0,21
Bug Lake,2008,0,0,0,1.2,0.4,2.1,4.4,6.1,10.6,11,15.4,14.9,18.3,17.3,17.7,18.6,4.1,21.8,0,23.5,0,23.6,0,24.9
Bug Lake,2009,0,0,0,1.4,1,3.3,4.7,7.2,9.7,11.1,14.3,13.6,19,17.9,17.8,20.9,0,22.7,0,26.1,0,26.9,0,27.7
Bug Lake,2010,0.1,0,0.5,3.3,1,4.6,3.3,7,5.5,9.4,7.6,10.9,8.7,12.7,11,16.7,4,21.7,0,24.2,0,24.3,0,26.1
Bug Lake,2011,0,0,1.3,4.3,6,9.1,15.5,17.3,18.7,20.3,24.2,23.2,30.5,29.8,36.6,36.3,30,41.7,0,43.2,0,44.3,0,45.4
Bug Lake,2012,0,0,0.6,1.8,3.7,6.1,4.8,7.2,9.2,10.8,12.7,13.8,14.1,15.7,7.4,17.9,0,19.7,0,19.7,0,20.5,0,21
Bug Lake,2013,0,0,1.7,3.5,3.2,5.5,8.1,9.7,10.1,11.9,11.6,12.9,11.9,14.6,11.5,18,0,19.5,0,19.5,0,22.4,0,23.5
Bug Lake,2014,0,0,0.5,2,2.4,3.8,5.8,6.7,9.8,9.5,18.3,16.1,23.9,20.6,20,22.2,0,24.5,0,26,0,27.7,0,32.4
Bug Lake,2015,0,0,0,0.5,4.4,4.2,7.7,7,8.6,8.7,12.2,10.6,10.4,12,3.1,14,0,19.9,0,22.3,0,23.2,0,24.7
Bug Lake,2016,0,0,0,0.9,2.8,3.3,7.6,8,12.3,12.2,14.6,14.3,18.8,19.1,12.7,21.1,0,24.9,0,25,0,25,0,25.4
Bug Lake,2017,0,0,0,4.2,2.8,6,9.7,11,21.4,21,28.5,28.1,31.7,33.6,33.6,37.6,4.7,39.2,0,40.2,0,40.6,0,42.1
Bug Lake,2018,0,0,0,0.5,3.2,5.2,5.7,7.8,9.4,10.3,12.4,12.8,14.8,15.6,8.9,18.6,0,20.5,0,21.3,0,22.4,0,22.6
Bug Lake,2019,0,0,0,3.7,3.4,7.6,5,9.5,9.9,13.1,18,18.6,23.3,22.7,20.3,27.1,6.3,32.1,0,33.2,0,33.6,0,33.8
Bug Lake,2020,0,0,1.6,2.2,4.8,5,8.2,8.4,13.4,12.5,16.2,14.8,19.4,18.4,13.1,19.8,0,21.1,0,24,0,24.7,0,25.1
Bug Lake,2021,0,0,0,0.9,3.4,4.5,4.7,5.9,7.8,8.3,13.5,12.5,14.8,13.8,9,15.6,0,17.5,0,18.2,0,19,0,21.7
Bug Lake,2022,0,0,0.4,4.5,0.6,5.8,8.2,11.9,10.8,14.6,11,14.9,14,17.5,13.2,20.5,0,23,0,23.3,0,23.5,0,25.7
Butte,1981,0,,1.3,1.5,1.8,2.5,3.1,3.7,3.7,4.3,4.8,5.5,7.9,8.4,0,9.9,0,13.8,0,14.5,0,18,0,19.1
Butte,1982,0,0,0.9,2.2,2.3,3.4,7.7,8.3,11.4,12.2,13.1,13.8,19.1,18.8,15.9,20.6,0,22.3,0,22.8,0,24.3,0,26.5
Butte,1983,0,0,1.3,1.3,4.7,5.1,5.7,7,6.6,7.1,10.6,9.9,14.5,13.9,16.8,17.1,3.9,20,0,21,0,21.8,0,24.8
Butte,1984,0,0,0,1.1,6.2,6.5,15.9,15.2,16.8,16.4,18.5,17.8,22,21.1,23,24.4,0.6,26.8,0,29,0,34.2,0,37.2
Butte,1985,0,0,2.9,4.2,4.6,6.4,8.6,10.2,10.8,11.2,13.2,13.4,19,18.6,14.9,21.1,0,23.3,0,23.8,0,25.5,0,26.1
Butte,1986,0.5,0,2,2.9,7.6,8.5,10.4,10.8,12.1,11.8,19.8,18.1,23.3,20,19.8,23.3,0,25.3,0,26.7,0,29,0,30.7
Butte,1987,0.3,0,2.3,3.1,6,6.4,6.3,7.2,8.9,10.1,11.8,12.4,15.4,15.1,8.2,16.5,0,17.3,0,19.1,0,19.6,0,23.1
Butte,1988,0,0,0,1.8,0.4,3.4,3.2,5.8,8,10.5,9.5,11.9,11.1,13.7,8.8,15.8,0,16.5,0,18.3,0,20,0,21
Butte,1989,0,0,0,0.6,2.4,3.9,5.6,6.9,7.2,8.5,11.4,12.4,13.1,14.8,5.5,16.8,0,18,0,18.6,0,22.1,0,23.1
Butte,1990,0,0,0,1.1,1.2,2.8,2.3,4,3.7,5.5,5.7,7.6,7.3,9.2,7.5,13.1,0,14.3,0,14.7,0,17.5,0,19.2
Butte,1991,0,0,0,2.3,2.3,5,3.6,6.7,5.4,8.4,6.9,9.8,12.4,15,12.3,17.1,0,17.8,0,19.6,0,22.1,0,23.6
Butte,1992,0,0,1.5,2.1,6,6.5,6.3,7.3,7.1,8.1,8.7,9.7,11.7,12.8,4.3,14.4,0,16.8,0,17.4,0,20.3,0,23.9
Butte,1993,0,0,1.2,1.8,3.1,4.1,6.4,6.3,12,11.1,20,18.2,24,21.3,23.3,24.2,4.6,26.4,0,27.2,0,27.9,0,29.2
Butte,1994,0,0,0.5,2.5,3.7,6.2,4.8,7.6,5.5,8.3,9.9,12.8,11.8,14.7,10.6,16.7,0,17.8,0,18.4,0,18.4,0,19
Butte,1995,0,0,0.3,2.2,3.8,5.9,5.6,7.6,8.6,10.8,14.6,16,20.6,20.7,22.3,24.4,19.1,30.3,0,32.5,0,33.7,0,34.8
Butte,1996,0.3,0,0.1,1,1.9,3.1,4.2,5.5,12.7,12.8,17.5,17.2,21,19.8,16.9,22.1,0,22.6,0,24.4,0,25.7,0,26.4
Butte,1997,0,0,2.2,3.9,4.9,7,11.5,12.9,16.9,18.1,17.8,19.5,19.1,20.7,18.3,24.2,0,26.8,0,28,0,28.7,0,30.6
Butte,1998,0,0,1.1,2.3,3.7,5.2,4.9,6.3,8.3,9.4,10.4,11.4,12.2,14,11.9,16.8,0,17.3,0,17.8,0,19.4,0,21.3
Butte,1999,0,0,0.7,2.9,3.6,6.1,3,6.7,7.2,10.7,9.5,12.7,10.2,13.9,12.1,19.4,0,22.2,0,22.6,0,26.7,0,29.3
Butte,2000,0,0,0,1.5,0.8,2.3,1.9,3.4,5.8,7.1,9.7,11.1,13,14.7,6.3,16.1,0,17.2,0,18,0,19,0,21.2
Butte,2001,0,0,0,1.4,1.3,2.8,4.6,5.9,5.9,7.1,8.4,9.7,10.9,12.3,6,14.3,0,15.9,0,17.5,0,20.3,0,23.1
Butte,2002,0,0,0.5,2,3,5,4.6,6.8,6.2,8,7.5,9.1,9.8,11.6,0.8,12.4,0,12.6,0,13,0,15.5,0,15.9
Butte,2003,0,0,1.3,2.6,4.8,5.6,5.8,6.9,7.4,8.3,10.5,11.4,13.4,14.7,9.3,16,0,17.9,0,18.6,0,19.6,0,22.5
Butte,2004,0,0,0,1,3,4.3,6.2,7.3,9,9.6,10.9,11.3,11.2,12.2,8.9,15.9,0,16.4,0,17.2,0,19.3,0,20
Butte,2005,0,0,0.6,1.6,3.6,5.3,5.7,7.4,11.6,13.1,15.3,16.5,17.9,19,15.4,21,0,22.7,0,23.4,0,24.5,0,26.1
Butte,2006,0,0,0.6,2.5,3.2,5.2,8,10.1,11.4,13.1,13,14.4,15.2,16.4,7,17.9,0,18.2,0,18.9,0,22.7,0,25.5
Butte,2007,0,0,1.5,3.6,3.9,6,5.4,7.1,5.9,8.3,8.8,10.5,11.1,12.2,2.2,14,0,15.2,0,15.8,0,18.1,0,19.2
Butte,2008,0,0,0,1.7,1,2.8,7,9,13.7,15.1,18.7,20.1,21.9,22.6,18.2,24.3,0.9,26.1,0,26.1,0,28,0,30.1
Butte,2009,0,0,0.1,1,1.4,3,6.9,8.4,10.3,11.5,13.3,14.5,16.8,16.8,9.6,19.5,0,21.4,0,22.6,0,24.3,0,25
Butte,2010,0,0,0.8,2.3,1.4,2.9,5,6,8.3,8.6,11,10.7,12,11.8,8.5,14.1,0,15.6,0,16.3,0,17.2,0,19.2
Butte,2011,0,0,1.1,3.2,2.4,5.2,8.7,11.5,10.9,13.3,13.7,15.8,17,18.5,18.1,22.2,1,23.7,0,24.2,0,25.9,0,26.4
Butte,2012,0,0,0.2,2.1,1.5,3.6,2.1,4.3,5,7,7.7,9.3,6.5,9.8,0,10.9,0,11.7,0,12,0,14.8,0,16.8
Butte,2013,0,0,0,0.8,0.1,1.4,3.3,4.8,5.2,6.5,6.4,7.6,8.8,9.7,7.6,13.4,0,15.5,0,15.9,0,19.1,0,21.7
Butte,2014,0,0,0.4,2.1,2.7,4.5,5.3,7.1,9.3,10.9,13.3,14.6,16.2,17.3,10.4,18.3,0,20.4,0,20.5,0,22.1,0,24
Butte,2015,0,0,0,1.6,3.6,5.5,6.5,8.1,7.7,9.2,9.8,11.3,11.1,12.9,7.2,14.7,0,18.8,0,20,0,23,0,25.5
Butte,2016,0,0,0.3,1.8,2.5,4.1,5.8,7.4,9.1,10.5,10.3,11.6,13.1,14.2,12.1,17.3,0,19.9,0,20.4,0,22.7,0,26
Butte,2017,0,0,0,0.7,1.5,2.7,7.2,7.7,15.6,15.2,19.8,19,21,20.1,15.5,22,0,23.9,0,24.1,0,27.1,0,28.1
Butte,2018,0,0,0.2,1.1,1.8,2.9,3.2,4,4.9,5.6,7.3,7.7,8.8,9,3.1,11.3,0,12.3,0,12.3,0,13.7,0,14.9
Butte,2019,0,0,0,2.3,3.3,5.2,5.1,6.8,8.3,9.7,12.3,13,19.1,18.6,14.9,21.5,8,24.3,0,25.7,0,25.7,0,26.6
Butte,2020,0,0,0.8,1.4,2.2,2.9,5.6,6.2,7.4,8,10,10.5,13.6,13.9,8.3,15.3,0,16.8,0,17.4,0,18.6,0,19
Butte,2021,0,0,0.6,0.7,2.4,3.1,4.9,5.5,6.3,6.8,9.2,9.6,11.1,11.4,4.2,12.3,0,13.7,0,15,0,18.2,0,19
Butte,2022,0,0,0.2,1.6,1.3,2.8,8.7,9.8,9.9,11,11.6,12.5,12.8,14.2,6.1,15.5,0,16.2,0,18.1,0,20.2,0,22
Cascade,1979,0,0,0,1.8,4,8.7,13.7,16.6,21.5,24.1,26.2,27.7,30.7,33.7,19.5,35.3,0,37.5,0,37.6,0,38.7,0,40.8
Cascade,1980,0,0,0,1.8,2,4.4,4,7,14.9,15.4,23,21.6,28.2,26.5,16.5,28.8,0,32.4,0,32.4,0,,0,
Cascade,1981,0,0,0.1,2.2,0.6,3.9,0.9,5.3,0.5,6,1.6,7.4,3.9,12,0,13.9,0,17.7,0,18.8,0,24.1,0,26.5
Cascade,1982,0,0,0,4.9,1.3,6.9,4.1,10.2,8.8,14.8,11.8,17.3,17,23.3,2.2,24.6,0,27.5,0,27.9,0,29.6,0,34.8
Cascade,1983,0,0,0,1.3,6.4,8.8,7.9,11.5,9.3,12.8,11.9,16.3,15.5,21,11.4,24.1,0,25.5,0,26.7,0,29.2,0,31.2
Cascade,1984,0,0,0,1.1,4.8,7.1,11,14.5,11.9,18.6,14.2,20.3,13.3,23.3,5.2,26.9,0,28.3,0,31.1,0,35.5,0,40.3
Cascade,1985,0,0,1.9,5.6,1.5,8.1,9.1,15.1,11.3,17,14,19,17.9,26.2,2.9,29.8,0,31.5,0,31.9,0,34.8,0,37.4
Cascade,1986,0,0,0,2.4,9,11.7,10.1,13.2,9.4,13.9,15,19.3,10.5,21.8,0,27.5,0,29.8,0,31.6,0,38.5,0,42.2
Cascade,1987,0,0,1.5,4.8,5.5,9.8,5.3,11.3,10.2,14.8,16,20.1,18.3,24,1.3,26,0,28.1,0,28.9,0,30.2,0,34.1
Cascade,1988,0,0,0,3.2,0.5,7.4,1.9,10.2,5.7,14.6,6.9,16.1,3.5,17,0,19.8,0,21.6,0,23.8,0,25.1,0,29.1
Cascade,1989,0,0,0,0.2,1.1,4.1,6.3,8.5,9.9,12.2,15.7,17.8,8,20.6,0,21.1,0,21.3,0,21.3,0,25.8,0,27.5
Cascade,1990,0,0,0,3.2,0,3.6,0,4,0.6,5.6,2.7,8.5,2.8,12.2,0,17.9,0,20,0,20.5,0,23.9,0,27.8
Cascade,1991,0,0,0.2,2.6,0.4,6.7,4,10.3,8.3,12.6,9.5,13.7,15.6,19.8,0,20.7,0,21.9,0,23.2,0,25.8,0,28.8
Cascade,1992,0,0,1.2,2.2,4.5,7.4,6.6,9.4,7.6,10.9,10.4,14,10,17.9,0,19.1,0,23.3,0,23.8,0,27.1,0,30.2
Cascade,1993,0,0,0.6,2.2,1.9,4.5,6.8,9.7,15.4,16.8,25.3,24.6,21.7,26.8,6.5,28.8,0,31.5,0,32,0,32.3,0,35.8
Cascade,1994,0,0,0,2.5,2.9,6,5.3,7.9,6.5,8.9,12.9,14.4,8.8,16.5,2.1,22.1,0,23.7,0,24.4,0,25,0,27.3
Cascade,1995,0,0,0.5,3.1,3.4,9.1,5.1,11.2,8.1,14.5,9.4,18.4,13.2,24.4,2.2,27.1,0,30.5,0,33.4,0,34.4,0,38.1
Cascade,1996,0,0,0.1,0.3,0,1.9,0.5,3.9,4.3,8.3,11.6,12.1,10.9,14.4,0,16.3,0,16.6,0,18.5,0,20.7,0,23.7
Cascade,1997,0,0,2.2,6.7,6,11.7,9.7,15.2,17.7,21.8,21.1,24.3,10.1,26.5,1,29.9,0,32.9,0,35.2,0,38.2,0,44.7
Cascade,1998,0,0,0,3.1,1,6.2,3.9,7.9,6.3,10.3,8.9,12.4,9.7,19.1,3.2,21.9,0,22.9,0,23.1,0,26,0,29.2
Cascade,1999,0,0,0.3,6.7,2.7,11,3.7,12.8,6.7,15.2,8.4,16.7,0,17.3,1.6,25.5,0,29,0,31.3,0,36,0,44.2
Cascade,2000,0,0,0,0,0,0,0.3,0.5,2.3,3.7,6.3,8.8,12.2,14.4,0,15,0,15.5,0,15.8,0,17.5,0,20.7
Cascade,2001,0,0,1,6.5,3.7,8.9,6.1,11,10.8,15.2,13.9,18.5,9.5,21,0,25.5,0,27.5,0,28.3,0,31,0,35.3
Cascade,2002,0,0,0.4,1.6,2,4.4,3.4,6.2,3.9,6.8,5,7.8,0.2,9.5,0,10.2,0,10.2,0,10.2,0,11.3,0,12.6
Cascade,2003,0,0,0.5,4.2,1,7.1,2.8,9.4,4.1,9.9,7.3,14.1,7.3,16.6,0,18.4,0,19.3,0,20.1,0,21.8,0,26.1
Cascade,2004,0,0,0,0.4,0.1,4.9,4.8,8.8,10.1,12.6,15.3,17.8,3.1,18.3,0.5,22.4,0,22.8,0,23.2,0,24.5,0,24.6
Cascade,2005,0,0,0,4.8,2.6,8.9,3.8,11.6,16.7,20.7,20.3,24.4,16.9,27.9,4,30.3,0,30.9,0,32.6,0,34.4,0,37.6
Cascade,2006,0,0,0,3.8,0,4.8,1.8,7,4.5,9.6,4.9,10.5,9.1,16.9,0,19.2,0,19.7,0,21.1,0,28.2,0,31.7
Cascade,2007,0,0,0,7.1,1.8,10.8,3.7,12.8,6.7,15.6,9.8,18,0.3,20.2,0,22.9,0,26.6,0,26.7,0,30.2,0,33.6
Cascade,2008,0,0,0,1.7,1.7,4.2,9,12.2,16.6,18.8,23.4,24.4,17.7,24.9,0,25.9,0,27.5,0,27.9,0,30.5,0,34.2
Cascade,2009,0,0,0,2.2,0.6,4,9,12.4,11.4,14.8,13.8,18.4,7.2,19.9,0,22.2,0,23.9,0,27.1,0,27.7,0,29.1
Cascade,2010,0,0,0,2.5,0,3.6,4.6,9.3,9,14.3,15,17.1,15.3,19.1,0,20.4,0,20.7,0,21.4,0,25,0,28.8
Cascade,2011,0,0,0,3.2,2.7,6.3,10.8,14.6,11.4,14.9,14.2,17.3,8,19,0,22.5,0,26.2,0,26.2,0,28.9,0,29.9
Cascade,2012,0,0,0,4.5,1.3,6.8,3.7,9.6,6.5,12.2,12.2,17.2,0.1,18.2,0,19.6,0,19.9,0,20.1,0,22.6,0,24.2
Cascade,2013,0,0,0,0.2,0,1.7,2.8,4.7,7.4,9.3,10.2,11.6,6.6,13.5,0,14.4,0,15.1,0,15.1,0,18.9,0,23.2
Cascade,2014,0,0,0.4,3,2.9,6.9,5,9.5,6.2,11.4,9.2,14.2,6.7,16.1,0,17.5,0,19.6,0,19.6,0,21.6,0,26
Cascade,2015,0,0,0,1.4,1.1,4.2,3.4,7.3,4.8,8.6,5,12.1,0,13.7,0,14.8,0,21.9,0,24.3,0,27.6,0,30.7
Cascade,2016,0,0,0.1,4.6,2.2,8.2,7.5,13.6,11,16.7,10.7,18.2,4.3,19.6,0,21.9,0,24.5,0,24.9,0,26.8,0,31.7
Cascade,2017,0,0,0,0.4,2.4,4.1,7,8.8,15.6,16.9,18.2,20.5,9.9,22.9,0,23.9,0,25.9,0,25.9,0,29.5,0,31.6
Cascade,2018,0,0,0.1,1,0,1.5,0.6,2,2.2,3.8,4.5,7.6,0,8.5,0,9.4,0,10.5,0,11.6,0,13.7,0,15.4
Cascade,2019,0,0,0,4.4,0,5.1,1.2,6.6,5.9,10.8,15.9,18.9,23.9,26.2,8.1,28.2,0,32.5,0,33.3,0,34.6,0,35.9
Cascade,2020,0,0,0,0.7,3.4,4.9,8.4,9.7,10.4,11.3,11.4,12.2,11.4,16.1,0,16.6,0,17,0,18.3,0,20.6,0,21.2
Cascade,2021,0,0,0,0.4,0,3.3,2.3,5.7,5.4,8.6,7.7,10.5,9,13.5,0.9,14.1,0.6,16.4,0,18.2,0,22.3,0.3,23.9
Cascade,2022,0,0,0,2.6,0.4,3,8,11.2,8,11.4,11.7,14.6,8.1,17.2,0.8,17.9,0,17.9,0,21.8,0,24.9,0,27.7
Dry Bread Pond,1979,0,0,0,0.5,4.7,4.3,10.9,12.3,20.5,16.6,25.7,19.8,31.9,22.8,22.8,24,0,26.8,0,27.6,0,28.5,0,29.8
Dry Bread Pond,1980,0,0,0.4,5.8,3.9,9.5,3.9,9.9,15.5,21.5,23.1,29.1,29.5,35.5,19.3,35.5,0.5,35.5,0,36.7,0,38.2,0,38.5
Dry Bread Pond,1981,0,0,1,2,2.3,3.8,3.7,5.5,4.7,7.1,7,8.4,9.6,11.4,4.9,14.7,0,18.8,0,19.1,0,19.3,0,19.5
Dry Bread Pond,1982,0,0,1,5.3,2.9,7.9,10.4,13.6,16,18.1,19.5,20.8,26,26.5,24.2,29.5,0,31,0,31.8,0,34.7,0,35.6
Dry Bread Pond,1983,1.7,0,3.6,1.8,10.1,6.1,13.3,9.3,16.3,10.7,20,13.3,25.1,17.3,31.3,22,19.6,26.6,0,29.1,0,30.8,0,35
Dry Bread Pond,1984,0,0,0,3.7,10.1,10.4,19.5,18.8,22.6,20.3,25.5,22.1,27.7,24.3,29.5,27.5,0,29.5,0,32.7,0,33.4,0,33.8
Dry Bread Pond,1985,0,0,4.2,4.5,11,9.7,15.9,12.8,17.8,14,21.8,16.3,30.4,21.6,14.9,23.3,0,26.5,0,27.7,0,29.1,0,29.1
Dry Bread Pond,1986,0,0,0.2,1.9,10.1,7.9,14.7,10.4,18.1,12.2,34.6,21.3,38.5,24.3,39.3,30.7,13.1,33.3,0,33.5,0,34.6,0,35.9
Dry Bread Pond,1987,2,0,0,1.9,2.1,4.3,3.2,5,11.3,7.8,12.2,9.9,15.6,12.6,0,12.8,0,16.6,0,16.8,0,19.1,0,20.8
Dry Bread Pond,1988,0,0,0,0.9,1.6,3.2,5.7,6.2,12.5,9.3,14.7,10.6,18.3,13.2,8.5,16.3,0,18.1,0,18.8,0,18.9,0,19.3
Dry Bread Pond,1989,0,0,0,0,6.4,5.8,16.8,8.9,20,11.4,25.2,14.3,29.5,19.4,16.7,21.7,0,22.8,0,23.8,0,24.6,0,25.8
Dry Bread Pond,1990,0,0,1.1,1.8,4,4.7,5,5.4,9,9.3,11.6,11.6,11,13.1,0.9,16,0.5,18.5,0,20.1,0,20.7,0,21.7
Dry Bread Pond,1991,0,0,0.2,2.1,3.1,6.1,6.5,8.9,8,10.8,10.6,13.4,13.1,16.7,14.1,20.5,0,24.5,0,26.8,0,27,0,28
